id,strand,fiveseen,polyAseen,threeseen,fiveend,polyAend,threeend,primer,chimera
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/126388/30_1439_CCS,+,1,1,1,30,1439,1472,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/126460/1143_64_CCS,-,1,1,1,31,1110,1145,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/126464/1143_58_CCS,-,1,1,1,29,1114,1143,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/126497/1140_62_CCS,-,1,1,1,31,1109,1142,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/126567/31_1387_CCS,+,1,1,1,31,1387,1419,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/126608/30_1001_CCS,+,1,1,1,30,1001,1034,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/126653/1539_67_CCS,-,1,1,1,30,1502,1540,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/126807/31_978_CCS,+,1,1,1,31,978,1008,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/126928/1599_52_CCS,-,1,1,1,31,1578,1603,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/126969/31_1463_CCS,+,1,1,1,31,1463,1496,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/127089/31_1591_CCS,+,1,1,1,31,1591,1620,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/127342/30_1197_CCS,+,1,1,1,30,1197,1223,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/127418/31_1327_CCS,+,1,1,1,31,1327,1356,1,0
